epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,15958.5,0.33431,0.3865,0.14134,0.8209,0.70377,0.74512,0.53535,0.35321,0.39455,0.16601,5.43837e-05,5.43837e-05,5.43837e-05
40,16368,0.33716,0.38467,0.13941,0.83999,0.69097,0.74323,0.53182,0.35638,0.39478,0.16965,5.24434e-05,5.24434e-05,5.24434e-05
41,16777.3,0.33721,0.38264,0.14025,0.84498,0.70107,0.74533,0.53333,0.35504,0.39115,0.17017,5.05e-05,5.05e-05,5.05e-05
42,17186.7,0.33692,0.38153,0.1391,0.83023,0.68845,0.74123,0.52859,0.35751,0.39561,0.17131,4.85566e-05,4.85566e-05,4.85566e-05
43,17596.2,0.33053,0.37719,0.13605,0.83163,0.69132,0.74324,0.53455,0.35402,0.39284,0.16749,4.66163e-05,4.66163e-05,4.66163e-05
44,18006.1,0.33533,0.38106,0.13813,0.83753,0.69873,0.74453,0.5343,0.35595,0.39222,0.1683,4.46819e-05,4.46819e-05,4.46819e-05
45,18415.5,0.33214,0.37432,0.13322,0.82368,0.70472,0.74818,0.53848,0.35674,0.39164,0.17124,4.27565e-05,4.27565e-05,4.27565e-05
46,18825.4,0.32616,0.37674,0.13531,0.83888,0.69186,0.74872,0.53687,0.35451,0.38874,0.16788,4.0843e-05,4.0843e-05,4.0843e-05
47,19236,0.32089,0.37515,0.13407,0.85291,0.6914,0.74467,0.53622,0.35594,0.39275,0.1702,3.89445e-05,3.89445e-05,3.89445e-05
48,19645.9,0.32187,0.37356,0.13257,0.83681,0.69432,0.74377,0.5351,0.35755,0.39365,0.17139,3.70637e-05,3.70637e-05,3.70637e-05
49,20055.1,0.31964,0.37212,0.13213,0.83581,0.70411,0.74338,0.53671,0.35662,0.38995,0.17079,3.52037e-05,3.52037e-05,3.52037e-05
50,20464.7,0.32017,0.37065,0.13063,0.83203,0.69515,0.73586,0.52908,0.36048,0.39145,0.17344,3.33672e-05,3.33672e-05,3.33672e-05
51,20874.8,0.31708,0.37002,0.13362,0.80328,0.71063,0.74432,0.53396,0.35658,0.39165,0.17125,3.15572e-05,3.15572e-05,3.15572e-05
52,21285.3,0.31709,0.36741,0.1313,0.82597,0.70372,0.74597,0.53465,0.3555,0.39256,0.16885,2.97763e-05,2.97763e-05,2.97763e-05
53,21694.8,0.31863,0.36799,0.13086,0.83171,0.70829,0.74715,0.53467,0.35586,0.39299,0.17175,2.80275e-05,2.80275e-05,2.80275e-05
54,22104.4,0.31693,0.36441,0.13042,0.85628,0.68628,0.74435,0.53446,0.35966,0.39174,0.17507,2.63132e-05,2.63132e-05,2.63132e-05
55,22513.8,0.31766,0.3675,0.12978,0.84641,0.68603,0.74759,0.53646,0.35597,0.39635,0.16979,2.46363e-05,2.46363e-05,2.46363e-05
56,22923.1,0.31503,0.36278,0.12949,0.86169,0.68453,0.74239,0.53228,0.35917,0.39424,0.17382,2.29993e-05,2.29993e-05,2.29993e-05
57,23332.7,0.31509,0.35929,0.12869,0.85582,0.68846,0.74622,0.53683,0.35626,0.39485,0.16967,2.14046e-05,2.14046e-05,2.14046e-05
58,23742.3,0.31146,0.36104,0.12777,0.86114,0.68471,0.74575,0.53516,0.35726,0.39517,0.17187,1.98548e-05,1.98548e-05,1.98548e-05
59,24151.9,0.30872,0.35913,0.12664,0.85107,0.68833,0.74477,0.53411,0.3586,0.39654,0.17264,1.83523e-05,1.83523e-05,1.83523e-05
60,24561.6,0.31302,0.36205,0.12737,0.8382,0.69121,0.74723,0.53401,0.35668,0.39639,0.16983,1.68994e-05,1.68994e-05,1.68994e-05
